ATR,-0,8890,1,0700,0,1057782135076252723311546841
ATRC,-0,4300,1,3500,0,1058387799564270152505446623
ATRI,-3,4879,5,4618,0,5845267973856209150326797386
ATRO,-1,7709,1,4438,0,1752272331154684095860566449
ATRS,-0,3250,0,3000,-0,0154684095860566448801742919
ATSG,-0,4800,0,4300,0,00180827886710239651416122
ATU,-0,9148,0,7160,-0,0086973856209150326797385621
ATVI,-0,6893,0,7476,0,0012464052287581699346405229
AUBN,-0,8152,0,8496,0,0195992771084337349397590361
AVA,-0,3762,0,5350,0,0388773420479302832244008715
AVAV,-0,5200,1,1400,0,0995860566448801742919389978
AVB,-4,9075,4,8076,-0,1474544662309368191721132898
AVD,-0,8302,2,1586,0,0260535947712418300653594771
AVEO,-0,1100,0,1100,-0,0017429193899782135076252723
AVGO,-1,5773,1,2083,0,1330252723311546840958605664
AVHI,-0,6000,0,7400,0,0763180827886710239651416122
AVID,-0,1700,0,4400,0,0647058823529411764705882353
AVT,-2,1690,0,9968,-0,0031751633986928104575163399
AVX,-0,2250,0,2596,-0,0004416122004357298474945534
AVY,-0,7326,3,2966,0,0719901960784313725490196078
AWI,-1,7500,2,9100,-0,0533769063180827886710239651
AWK,-0,6965,1,1966,0,0771601307189542483660130719
AWR,-0,5000,0,6875,0,070865795206971677559912854
AXAS,-0,1600,0,3100,0,0316666666666666666666666667
AXDX,-1,7700,2,3500,0,0651416122004357298474945534
AXE,-3,0078,1,8066,-0,0589331154684095860566448802
AXGN,-0,3800,0,2500,-0,0138997821350762527233115468
AXL,-0,5200,0,8100,-0,0282570806100217864923747277
AXP,-1,2765,3,6432,0,1320291938997821350762527233
AXS,-0,6403,0,8982,0,1353867102396514161220043573
AXTI,-0,0700,0,1400,0,0010457516339869281045751634
AYI,-4,7421,6,7786,0,3409071895424836601307189542
AYR,-0,3508,0,5261,0,0310509803921568627450980392
AZO,-5,8100,10,7600,1,040457516339869281045751634
AZPN,-0,8600,2,6300,0,069324618736383442265795207
AZZ,-1,1863,1,0977,0,0846222222222222222222222222
B,-2,0947,1,1511,0,0513285403050108932461873638
BA,-2,2889,5,7575,0,373215032679738562091503268
BABY,-0,9000,4,2000,0,1833769063180827886710239651
BAC,-0,2908,0,4878,0,000434204793028322440087146
